id,name,categoryId
222,กรีนโอ๊ค,3
223,บัตเตอร์เฮด,3
224,คอส,3
225,กระเทียม,9
226,หัวหอม,9
227,หอมใหญ่,9
228,หอมแดง,9
229,ขิง,9
230,ตะไคร้,9
231,ข่า,9
232,พริก,9
233,พริกหยวก,9
234,พริกขี้หนู,9
235,พริกชี้ฟ้า,9
236,พริกไทยดำ,9
237,พริกไทยขาว,9
238,พริกป่น,9
239,ผงกะหรี่,9
240,ยี่หร่า,9
241,ออริกาโน,9
242,โรสแมรี่,9
243,ไทม์,9
244,ใบกะเพรา,9
245,ใบโหระพา,9
246,ผักชี,9
247,รากผักชี,9
248,อบเชย,9
249,โป๊ยกั๊ก,9
250,กานพลู,9
251,ปาปริก้า,9
252,ใบมะกรูด,9
253,ใบกะเพราแดง,9
254,ใบกะเพราขาว,9
255,ใบแมงลัก,9
256,ใบสะระแหน่,9
257,ผักชีลาว,9
258,ข่าแก่,9
259,ใบเตย,9
260,ขมิ้นชัน,9
261,ขมิ้นขาว,9
262,กระชายเหลือง,9
263,กระชายดำ,9
264,พริกไทยอ่อน,9
265,ดอกจันทน์,9
266,ลูกจันทน์,9
267,ลูกกระวาน,9
268,ใบกระวาน,9
269,ผงพะโล้,9
270,ผงหมาล่า,9
271,พริกแห้ง,9
272,พริกขี้หนูแห้ง,9
273,พริกจินดา,9
274,พริกชี้ฟ้าแห้ง,9
275,พริกไทยป่น,9
276,วาซาบิ,9
277,มัสตาร์ดผง,9
278,กระทะ,5
279,หม้อ,5
280,เตาอบ,5
281,เครื่องปั่น,5
282,แอร์ฟรายเออร์,5
283,มีด,5
284,ไมโครเวฟ,5
285,เครื่องปิ้งขนมปัง,5
286,ตะกร้อ,5
287,กระต่ายขูด,5
288,ที่ปอกเปลือก,5
289,เขียงหั่น,5
290,ถ้วยตวง,5
291,พาย,5
292,คีม,5
293,ไม้นวดแป้ง,5
294,หม้อหุงข้าว,5
295,เครื่องประมวลผลอาหาร,5
296,เครื่องผสม,5
297,กระชอน,5
298,เตาแก๊ส,5
299,เตาแม่เหล็กไฟฟ้า,5
300,เตาถ่าน,5
301,สาก,5
302,ครก,5
303,ซึ้งนึ่ง,5
304,ที่เปิดกระป๋อง,5
305,กระดาษฟอยล์,5
306,กระดาษไข,5
307,เครื่องซีลสูญญากาศ,5
308,เครื่องตีแป้ง,5
309,ช้อนตวง,5
310,ที่บีบมะนาว,5
311,กรรไกรทำอาหาร,5
312,ตะแกรงปิ้งย่าง,5
313,น้ำปลา,8
314,น้ำตาลทรายแดง,8
315,น้ำตาลมะพร้าว,8
316,น้ำตาลโตนด,8
317,เกลือป่น,8
318,ซีอิ๊วขาว,8
319,ซีอิ๊วดำหวาน,8
320,ซีอิ๊วดำเค็ม,8
321,ซอสปรุงรสฝาเขียว,8
322,ซอสปรุงรสฝาเหลือง,8
323,ซอสหอยนางรม,8
324,ซอสมะเขือเทศ,8
325,ซอสพริก,8
326,น้ำส้มสายชู,8
327,น้ำมะนาวสด,8
328,เต้าเจี้ยว,8
329,เต้าหู้ยี้,8
330,น้ำปลาร้าต้มสุก,8
331,กะปิ,8
332,ผงชูรส,8
333,ผงปรุงรสหมู,8
334,ผงปรุงรสไก่,8
335,ซอสพริกไทยดำ,8
336,ซอสบาร์บีคิว,8
337,มายองเนส,8
338,มัสตาร์ด,8
339,ซอสมะเขือเทศเข้มข้น,8
340,น้ำจิ้มไก่,8
341,น้ำจิ้มบ๊วย,8
342,น้ำจิ้มแจ่ว,8
343,น้ำจิ้มซีฟู้ด,8
344,น้ำจิ้มสุกี้,8
345,ซอสยากิโซบะ,8
346,ซอสเทริยากิ,8
347,ซอสโชยุ,8
348,มิริน,8
349,สาเกปรุงอาหาร,8
350,ซอสพริกศรีราชา,8
351,ซอสโคชูจัง,8
352,น้ำสลัดครีม,8
353,น้ำสลัดงาญี่ปุ่น,8
354,น้ำมันมะกอกผ่านกรรมวิธี,8
355,ผงโกโก้,8
356,น้ำผึ้ง,8
357,เกลือสมุทร,8
358,ซีอิ๊วขาวเห็ดหอม,8
359,น้ำมันหอยเห็ดหอม,8
360,ไข่ไก่,7
361,ไข่เป็ด,7
362,ไข่นกกระทา,7
363,ไข่เค็ม,7
364,ไข่เยี่ยวม้า,7
365,นมสดรสจืด,7
366,นมสดรสหวาน,7
367,นมข้นจืด,7
368,นมข้นหวาน,7
369,วิปปิ้งครีม,7
370,โยเกิร์ตรสธรรมชาติ,7
371,เนยเค็ม,7
372,เนยจืด,7
373,ชีสเชดดาร์,7
374,ชีสมอสซาเรลล่า,7
375,ชีสพาร์เมซาน,7
376,ชีสครีม,7
377,นมถั่วเหลือง,7
378,กะทิกล่อง,7
379,กะทิสด,7
380,มาสคาร์โปนชีส,7
381,นมแพะ,7
382,ครีมเปรี้ยว,7
383,ชีสบลูชีส,7
384,เนยขาว,7
385,มาการีน,7
386,นมเปรี้ยว,7
387,นมอัลมอนด์,7
388,นมมะพร้าว,7
389,นมข้นจืดคาเนชั่น,7
390,ข้าวหอมมะลิ,6
391,ข้าวเสาไห้,6
392,ข้าวกล้อง,6
393,ข้าวไรซ์เบอร์รี่,6
394,ข้าวเหนียวเขี้ยวงู,6
395,ข้าวญี่ปุ่น,6
396,เส้นก๋วยเตี๋ยวเส้นเล็ก,6
397,เส้นก๋วยเตี๋ยวเส้นใหญ่,6
398,เส้นหมี่ขาว,6
399,เส้นบะหมี่เหลือง,6
400,เส้นบะหมี่หยก,6
401,เส้นขนมจีน,6
402,เส้นวุ้นเส้น,6
403,เส้นสปาเก็ตตี้,6
404,เส้นมักกะโรนี,6
405,แป้งสาลีอเนกประสงค์,6
406,แป้งข้าวจ้าว,6
407,แป้งข้าวเหนียว,6
408,แป้งมันสำปะหลัง,6
409,แป้งข้าวโพด,6
410,แป้งทอดกรอบ,6
411,ผงฟู,6
412,เบกกิ้งโซดา,6
413,ยีสต์แห้ง,6
414,เจลาตินผง,6
415,ช็อกโกแลตชิพ,6
416,กลิ่นวนิลา,6
417,เกล็ดขนมปัง,6
418,ข้าวคั่ว,6
419,เส้นเพนเน่,6
420,แป้งขนมปัง,6
421,แป้งเค้ก,6
422,ผงเจลาติน,6
423,น้ำตาลไอซิ่ง,6
424,ผงวุ้น,6
425,ข้าวโอ๊ต,6
426,แป้งโฮลวีต,6
427,แผ่นแป้งเกี๊ยว,6
428,แผ่นพายสำเร็จรูป,6
429,แผ่นแป้งตอร์ติญ่า,6
430,แผ่นแป้งลาซานญ่า,6
431,ข้าวเหนียวดำ,6
432,ลูกชิด,6
433,สาคู,6
434,น้ำเปล่า,12
435,โซดา,12
436,น้ำอัดลม,12
437,ชาเขียว,12
438,ชาไทย,12
439,กาแฟดำ,12
440,นมสด,12
441,น้ำเชื่อม,12
442,น้ำผึ้งแท้,12
443,น้ำมะพร้าวสด,12
444,น้ำส้มคั้น,12
445,น้ำแอปเปิ้ล,12
446,ไวน์แดงสำหรับปรุงอาหาร,12
447,ไวน์ขาวสำหรับปรุงอาหาร,12
448,เบียร์,12
449,น้ำซุปกระดูกหมู,12
450,น้ำซุปไก่,12
451,น้ำซุปปลาโอแห้ง,12
452,โทนิค,12
453,น้ำแร่,12
454,ชาอู่หลง,12
455,ชามะนาว,12
456,น้ำเก๊กฮวย,12
457,น้ำกระเจี๊ยบ,12
458,น้ำใบเตย,12
459,น้ำอัญชัน,12
460,น้ำมะตูม,12
461,ไซรัปคาราเมล,12
462,ไซรัปวานิลลา,12
463,น้ำเชื่อมผลไม้,12
464,น้ำมันปาล์ม,11
465,น้ำมันถั่วเหลือง,11
466,น้ำมันรำข้าว,11
467,น้ำมันมะพร้าวสำหรับปรุงอาหาร,11
468,น้ำมันมะกอก Extra Virgin,11
469,น้ำมันมะกอกสำหรับผัด,11
470,น้ำมันหมู,11
471,น้ำมันไก่,11
472,น้ำมันงา,11
473,น้ำมันเมล็ดทานตะวัน,11
474,น้ำมันคาโนลา,11
475,น้ำมันอะโวคาโด,11
476,น้ำมันข้าวโพด,11
477,น้ำมันเมล็ดชา,11
478,เนยโกโก้,11
479,น้ำมันหมูสกัดร้อน,11
480,น้ำมันเนย (กี),11
481,น้ำสลัดน้ำใส,11
482,น้ำมันมะกอกชนิดบริสุทธิ์พิเศษ,11
483,ถั่วลิสง,10
484,เม็ดมะม่วงหิมพานต์,10
485,อัลมอนด์,10
486,วอลนัท,10
487,แมคคาเดเมีย,10
488,พิสตาชิโอ,10
489,เมล็ดฟักทอง,10
490,เมล็ดทานตะวัน,10
491,เมล็ดแตงโม,10
492,เมล็ดแฟลกซ์,10
493,เมล็ดเจีย,10
494,ถั่วเขียว,10
495,ถั่วแดง,10
496,ถั่วดำ,10
497,ถั่วเหลือง,10
498,ถั่วลิสงคั่วป่น,10
499,เกาลัด,10
500,เมล็ดสน,10
501,ถั่วปากอ้า,10
502,เมล็ดบัว,10
503,เม็ดกวยจี๊,10
504,งาขาว,10
505,งาดำ,10
506,งาคั่ว,10
507,เมล็ดงาขี้ม่อน,10
508,เต้าหู้ขาว,13
509,เต้าหู้เหลือง,13
510,เต้าหู้ไข่,13
511,เต้าหู้พวง,13
512,บุกเส้น,13
513,ฟองเต้าหู้,13
514,สาหร่ายแผ่น,13
515,เยลลี่,13
516,วุ้นมะพร้าว,13
517,เต้าฮวย,13
518,เฉาก๊วย,13
519,บ๊วยเค็ม,13
520,บ๊วยดอง,13
521,หนำเลี้ยบ,13
522,มะกอกดำ,13
523,มะกอกเขียว,13
524,เชอร์รี่เชื่อม,13
525,วิปครีมสเปรย์,13
526,ลูกชิ้นปลาเส้น,13
527,ปูอัด,13
528,เต้าหู้ปลา,13
529,ทอดมันปลา,13
530,ปลาหมึกแห้ง,13
531,กุ้งแห้ง,13
532,กังป๋วย (หอยเชลล์แห้ง),13
533,ปลาเค็ม,13
534,กุนเชียงหมู,13
535,กุนเชียงไก่,13
536,หมูหยอง,13
537,หมูแผ่น,13
538,ปลาหมึกยัดไส้,13
539,เต้าฮวยนมสด,13
540,บัวลอยสำเร็จรูป,13
541,แผ่นเกี๊ยวซ่า,13
542,ปอเปี๊ยะสำเร็จรูป,13
